p,d,q,ps,ds,qs,s,aic
8.0,0.0,4.0,0.0,2.0,0.0,12.0,1474.8281575400338
0.0,3.0,2.0,6.0,6.0,1.0,12.0,153.55839985146702
0.0,8.0,1.0,6.0,2.0,3.0,12.0,3345.828770514717
3.0,6.0,4.0,6.0,6.0,2.0,12.0,71.18887996797616
6.0,6.0,4.0,2.0,4.0,1.0,12.0,1071.595418199742
6.0,8.0,6.0,2.0,0.0,4.0,12.0,5763.022182194383
8.0,0.0,4.0,8.0,4.0,0.0,12.0,78.36150985150988
6.0,2.0,0.0,0.0,0.0,1.0,12.0,1083.2590989536966
8.0,6.0,8.0,6.0,3.0,2.0,12.0,421.39337768982944
0.0,3.0,1.0,6.0,2.0,2.0,12.0,498.5419917172005
4.0,8.0,3.0,4.0,8.0,1.0,12.0,26.0
4.0,8.0,8.0,8.0,0.0,1.0,12.0,503.23773594658735
0.0,1.0,1.0,3.0,4.0,1.0,12.0,654.6080826553923
1.0,6.0,4.0,8.0,3.0,3.0,12.0,238.31965853705134
2.0,3.0,1.0,6.0,6.0,0.0,12.0,129.7791765363384
1.0,1.0,4.0,4.0,0.0,3.0,12.0,785.3244803288949
6.0,0.0,2.0,3.0,1.0,2.0,12.0,773.8416356365022
3.0,3.0,0.0,1.0,1.0,3.0,12.0,3710.1313589822735
3.0,2.0,8.0,1.0,0.0,0.0,12.0,1044.9871343444377
0.0,3.0,0.0,2.0,8.0,0.0,12.0,493.4374670501123
0.0,2.0,6.0,6.0,4.0,2.0,12.0,457.2663966163979
4.0,2.0,1.0,6.0,1.0,0.0,12.0,491.6510595860057
2.0,6.0,8.0,0.0,8.0,1.0,12.0,954.3141344510486
1.0,1.0,3.0,2.0,6.0,0.0,12.0,926.6635708471603
3.0,8.0,3.0,6.0,3.0,2.0,12.0,556.7767332505571
